
Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,plumber for low water pressure,plumbing,,,,,12100,8,7.97,0.06,19100000,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.00,0.81,0.54,1.00,0.44,0.00,0.02,0.00,0.02,0.00,0.00,0.00",20,,
us,plumber for running toilet,plumbing,,,,,8100,1,19.83,0.06,167,Informational,"Video, Video Carousel, Related Searches, AI Overview","0.13,0.23,1.00,0.81,1.00,1.00,0.00,0.13,0.66,0.81,0.54,0.81",90,,
us,how long does it take to become a plumber,plumber,,,,,2400,17,2.55,0.03,98800000,Informational,"Site Links, Video, Related Searches, AI Overview","0.82,0.65,0.82,1.00,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.65",20,,
us,how much does a plumber cost,plumber,,,,,1900,16,5.46,0.79,171,Informational,"Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.82,0.65,0.44,0.65,0.55,0.44,0.55,0.65,0.65,0.44,0.65,0.82",20,,
us,how to solder copper plumbing,plumber,,,,,1900,16,0.05,0.08,4450000,Informational,"Video Carousel, Related Searches, Short Videos, AI Overview, Image Pack, Video, Image","0.07,0.44,0.13,0.27,0.52,0.27,0.10,0.80,1.00,0.80,1.00,0.80",90,,
us,what does a plumber do,plumber,,,,,1600,25,6.63,0.02,56500000,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.54,0.54,0.79,0.66,0.66,0.54,0.66,0.79,1.00,0.54,1.00,1.00",20,,
us,how much does plumbing cost,plumber,,,,,880,19,5.32,0.65,0,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video","0.46,0.37,0.52,0.46,0.68,0.52,0.52,0.52,0.37,0.37,0.52,0.20",20,,
us,how much will a plumber charge,plumber,,,,,880,17,5.48,0.65,31000000,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, People Also Ask","0.76,0.67,1.00,1.00,1.00,0.76,0.13,0.13,0.36,0.45,0.55,0.45",20,,
us,should i tip a plumber,plumber,,,,,880,18,4.62,0.01,30300000,Informational,"Video, People Also Ask, Related Searches, AI Overview, Site Links","1.00,0.46,0.46,0.52,0.52,0.52,0.37,0.25,0.31,0.25,0.25,0.25",20,,
us,plumber tools,plumber,,,,,5400,29,0.39,1.00,60400000,Informational,"Popular Products, Related Searches, AI Overview, Knowledge Panel, Site Links, Video, Image","0.44,0.54,0.19,0.10,0.15,0.81,0.36,0.66,0.66,0.54,0.54,0.36",20,,
us,plumbing tape,plumber,,,,,4400,29,0.47,0.91,63700000,"Informational, Commercial","Image, Popular Products, Things To Know, Image Pack, Site Links, Video, Related Searches, Short Videos, AI Overview","0.81,0.36,0.29,0.66,0.54,0.36,0.44,0.29,0.44,0.44,0.29,0.29",20,,
us,plumbing tools,plumber,,,,,8100,19,0.39,1.00,234000000,"Informational, Commercial","Things To Know, AI Overview, Site Links, Video, Image, Popular Products, Related Searches","0.54,0.44,0.44,0.54,0.54,0.66,0.54,0.66,0.66,0.66,0.54,0.66",20,,
us,kitchen sink plumbing,plumber,,,,,3600,25,6.21,0.93,107000000,Informational,"Short Videos, Things To Know, AI Overview, Image Pack, Site Links, Popular Products, Discussions And Forums, Video, Image, Video Carousel, Related Searches","0.53,0.53,0.66,0.53,0.53,0.66,1.00,0.81,0.81,0.81,0.81,1.00",20,,
us,plumber fix shower,plumber,,,,,3600,27,16.59,0.10,11900000,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Video Carousel, Discussions And Forums, Local Pack, Site Links, Video","0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.44,0.81,1.00,0.05",20,,
us,plumbing vent,plumber,,,,,3600,29,6.27,0.58,44000000,Informational,"Site Links, Video, Video Carousel, Popular Products, Related Searches, AI Overview, Image Pack","0.66,0.66,0.53,0.66,0.66,0.53,0.66,0.81,0.81,0.66,0.53,0.53",20,,
us,plumber for garbage disposal repair,plumbing,,,,,14800,17,0.00,0.04,3230000,Informational,"Video, Related Searches, Discussions And Forums, AI Overview","0.00,0.29,0.66,1.00,0.44,0.44,0.02,0.03,0.66,0.29,0.00,0.00",90,,
us,hydrojet plumbing,plumbing,,,,,40500,20,26.30,0.59,443000,Informational,"AI Overview, Local Pack, Site Links, Video, Video Carousel, Related Searches, Things To Know","0.01,0.66,0.44,0.66,1.00,0.81,1.00,1.00,1.00,1.00,0.81,0.81",20,,
us,plumbing installation,plumbing,,,,,90500,16,16.05,0.08,106000000,Informational,"Video, Video Carousel, Related Searches, AI Overview, Image Pack, Site Links","0.36,0.81,0.67,0.54,1.00,0.67,0.81,0.81,0.67,0.67,0.54,0.81",20,,
us,unionized plumber,plumbing,,,,,8100,29,3.39,0.21,97,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview, Image Pack","0.44,0.81,1.00,0.81,0.81,0.81,0.36,0.03,0.54,0.81,1.00,0.66",20,,
us,aaron the plumber fight,plumbing,,,,,6600,27,0.00,0.00,124,Informational,"Related Searches, Things To Know, Site Links, Video, People Also Ask","0.00,1.00,0.67,0.24,0.10,0.13,0.05,0.03,0.03,0.03,0.07,0.05",20,,
us,pvc plumbing accessories,plumbing,,,,,5400,28,0.36,0.93,20200000,"Informational, Commercial","Site Links, Video, Image, Popular Products, Related Searches, Local Pack, Image Pack","0.01,0.81,0.81,0.81,0.81,0.03,0.00,0.10,0.66,1.00,0.00,0.02",20,,
